assignment_id,SLS,nama_usaha_bang,jenis_prelist,ada_bang_usaha_label,link_fasih
f5ebe04d-7329-442b-912d-d8e65b7d5a80,71030500180002,MCK UMUM,bangunan_lain,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/f5ebe04d-7329-442b-912d-d8e65b7d5a80
1f651a2c-1440-42a0-9172-261ba6e33827,71031000030004,RUMAH MAKAN HATTARUA (NARIBA PASALIA),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/1f651a2c-1440-42a0-9172-261ba6e33827
201b0da1-8d60-44ab-9458-39dbadc3350c,71030800090003,KOPRA (AGUSTAF AGAMA),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/201b0da1-8d60-44ab-9458-39dbadc3350c
52f974d6-824c-4ed8-9ad5-c12947d89ef4,71031000090001,KOPERASI SIMPAN PINJAM (SEMUEL TATUWO),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/52f974d6-824c-4ed8-9ad5-c12947d89ef4
55664495-fbcb-4a08-944c-5d68fb91269e,71030400130001,PERDAGANGAN ECERAN PERALATAN RUMAH TANGGA (RUKANI) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/55664495-fbcb-4a08-944c-5d68fb91269e
656eefd8-e926-41cb-8ce3-86f51af1cf78,71030910040007,WILSON (KAOS KAKI) (WILSON HORMATI) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/656eefd8-e926-41cb-8ce3-86f51af1cf78
7308dd35-22c8-478c-b426-2eb94aaa3547,71031000240002,INDUSTRI KOPRA (KASMAT) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/7308dd35-22c8-478c-b426-2eb94aaa3547
7494b072-4cd3-4619-84cb-d944214efb1b,71030910040008,KEDAI MA ITA ( SRI SUMINY TAUMOLOBA) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/7494b072-4cd3-4619-84cb-d944214efb1b
93721f58-72fd-4e8c-a4c1-07ba7ea91970,71030800180001,PENGOLAHAN KOPRA (MARIA SALIMAHATI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/93721f58-72fd-4e8c-a4c1-07ba7ea91970
9472e8b5-0523-4d41-a5de-12cd5e595491,71030400110008,TPK MATULENDE,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/9472e8b5-0523-4d41-a5de-12cd5e595491
a4dd7c11-bb07-466a-903e-9c2c7a63bcbd,71030910040007,CAFE CARLOTA (REICHAL JIMMY KELVYN KASE) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/a4dd7c11-bb07-466a-903e-9c2c7a63bcbd
b071c61f-941f-4340-bb0b-b6c4b0213b02,71030900100006,KANTIN MAKANAN (BEATRIX ULI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/b071c61f-941f-4340-bb0b-b6c4b0213b02
da6cd27a-78c3-43be-a0db-effd72139a76,71031000230003,WARUNG MAKAN (HARTINI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/da6cd27a-78c3-43be-a0db-effd72139a76
e09a2201-3738-4183-9765-ce4e100913de,71030800020004,YAYASAN TK SYALOM PANDEROHOKANG (CILVIA LAHOSE),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/e09a2201-3738-4183-9765-ce4e100913de
e809b81a-dd09-42f0-85e3-845923ee86a4,71030910030004,KIOS SEMBAKO (KUSMIATI MARDJAN),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/e809b81a-dd09-42f0-85e3-845923ee86a4
38eaaa79-4e73-4601-a2a8-fa01c70d1cf3,71030800110005,BENGKEL MOTOR (YEFREN TAUNAUMANG),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/38eaaa79-4e73-4601-a2a8-fa01c70d1cf3
77c30ee3-af9e-4b5e-a60d-2bf04f7aeca8,71030500110001,PEDAGANG ECERAN SAYUR-SAYURAN (ELSYE YACOBUS),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/77c30ee3-af9e-4b5e-a60d-2bf04f7aeca8
a7b4cd7c-7e3d-47c2-a13c-8db8ab18ea0f,71030700040001,WARUNG SEMBAKO (JANLID VIDO CIPTO LAUNA),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/a7b4cd7c-7e3d-47c2-a13c-8db8ab18ea0f
ae7bd48a-e3ae-4cec-9619-5c51089b4c0a,71030500110001,WARUNG SEMBAKO (NOVITA KANTOHE),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/ae7bd48a-e3ae-4cec-9619-5c51089b4c0a
c57510fa-9157-4e96-8d9d-c1fda367d71d,71030800080001,KIOS KLONTONG (YUL SIRAPE),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/c57510fa-9157-4e96-8d9d-c1fda367d71d
f6e36fb6-1d31-401f-8774-bd12095ece3e,71030900070011,PENJUAL KELAPA CUKUR (SRI AWUMBAS),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/f6e36fb6-1d31-401f-8774-bd12095ece3e
1f926700-8a36-4b9a-a730-131fdece432a,71030900070003,"GALILEO, CV",UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/1f926700-8a36-4b9a-a730-131fdece432a
005aea2a-92fe-48fe-96d1-62e7dac5d9c4,71030910080002,BENSIN ENCERAN (MARNI ABAS),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/005aea2a-92fe-48fe-96d1-62e7dac5d9c4
02ae0eb4-d8ab-47ba-86a6-9e366bb28661,71030910030005,CAFE ANAK SULTAN,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/02ae0eb4-d8ab-47ba-86a6-9e366bb28661
06f7bfbe-7df3-43cf-bf0a-186033f2bc21,71031100050001,,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/06f7bfbe-7df3-43cf-bf0a-186033f2bc21
1677f5b6-5c38-4a1f-9e62-dd19b181eff2,71031000210003,TK ATARJI (JAMALIA YANIS),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/1677f5b6-5c38-4a1f-9e62-dd19b181eff2
17c7c243-a108-438b-8b95-3fe46d5f43a0,71030800130001,TUKANG POTONG KAYU (OTARIS TAHENDUNG),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/17c7c243-a108-438b-8b95-3fe46d5f43a0
